epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3424,1.79102,5.60604,2.08758,0,0,0,0,2.5851,9.13028,2.88165,3.332e-05,3.332e-05,3.332e-05
2,29.3236,1.86027,5.31981,2.12974,0.05976,0.52778,0.22514,0.10501,2.17151,8.45191,2.72771,7.3733e-05,7.3733e-05,7.3733e-05
3,31.5608,1.69015,4.03177,2.03891,0.1199,0.34894,0.20031,0.09843,2.07379,25.2731,2.53312,0.000112772,0.000112772,0.000112772
4,34.1728,1.53431,3.25703,1.8289,0.30653,0.24878,0.18884,0.11035,1.90866,23.6859,2.52325,0.000150436,0.000150436,0.000150436
5,37.1685,1.54111,3.16578,1.84205,0.25626,0.22033,0.24292,0.09567,1.79227,13.6944,2.52401,0.000186725,0.000186725,0.000186725
6,39.2004,1.47175,2.71576,1.76723,0.36285,0.3962,0.38692,0.20495,1.84119,10.7399,2.37358,0.00022164,0.00022164,0.00022164
7,41.3052,1.42685,2.62802,1.74621,0.16829,0.63889,0.32119,0.18532,2.0059,8.89522,2.39001,0.000255181,0.000255181,0.000255181
8,43.2854,1.3956,2.4105,1.71867,0.27307,0.5592,0.51749,0.23266,2.01399,7.295,2.74555,0.000287348,0.000287348,0.000287348
9,45.493,1.34041,2.31617,1.62652,0.75948,0.24613,0.18572,0.03321,2.25423,9.10204,2.97684,0.000318139,0.000318139,0.000318139
10,47.4874,1.37465,2.18372,1.64733,0.23795,0.16667,0.10556,0.02312,2.6469,8.15935,3.25693,0.000347557,0.000347557,0.000347557
11,50.2217,1.36741,2.00081,1.63239,0.06073,0.34915,0.10451,0.03017,2.64155,5.05903,3.33416,0.0003756,0.0003756,0.0003756
12,52.8032,1.28612,1.97843,1.56217,0.27136,0.34722,0.11214,0.06104,2.41041,4.53751,2.94848,0.000402268,0.000402268,0.000402268
13,54.8028,1.40039,2.04829,1.63012,0.57787,0.08333,0.08836,0.03397,2.47398,3.79567,2.99172,0.000427562,0.000427562,0.000427562
14,56.7732,1.38748,1.99002,1.59739,0.77632,0.08333,0.10961,0.02653,2.56212,3.57987,3.14291,0.000451482,0.000451482,0.000451482
15,58.6957,1.39319,1.94846,1.67573,0.46673,0.44444,0.22516,0.10613,2.08828,4.63384,2.80996,0.000474027,0.000474027,0.000474027
16,60.609,1.27054,1.77366,1.54329,0.57351,0.26389,0.37911,0.22248,2.30833,3.98101,2.96446,0.000495198,0.000495198,0.000495198
17,62.6322,1.28859,1.86067,1.57492,0.33662,0.25152,0.20374,0.09078,2.27491,3.53924,2.87511,0.000514994,0.000514994,0.000514994
18,65.2325,1.27331,1.6489,1.56931,0.40851,0.13214,0.18961,0.08075,2.36867,3.04481,3.11897,0.000533416,0.000533416,0.000533416
19,67.7734,1.25213,1.68711,1.48,0.38751,0.17741,0.19354,0.07264,2.81212,3.0357,3.30599,0.000550463,0.000550463,0.000550463
20,69.6535,1.41753,1.71687,1.60518,0.06583,0.20675,0.10167,0.03379,2.76377,3.26229,3.44402,0.000566136,0.000566136,0.000566136
21,71.5336,1.20536,1.53525,1.47886,0.22225,0.13889,0.06831,0.01217,3.35164,3.49686,3.68259,0.00055811,0.00055811,0.00055811
22,73.4689,1.18668,1.57179,1.48211,0.0931,0.21445,0.10213,0.02421,2.99292,3.76477,3.54663,0.000544365,0.000544365,0.000544365
23,75.3434,1.16741,1.46264,1.47669,0.32556,0.24992,0.24118,0.05715,2.56008,4.17159,3.29338,0.000530621,0.000530621,0.000530621
24,77.3403,1.21118,1.48147,1.5149,0.19011,0.61111,0.38936,0.08921,2.87045,3.6549,3.73275,0.000516877,0.000516877,0.000516877
25,79.8432,1.15423,1.39351,1.41132,0.54291,0.38796,0.26047,0.12047,2.55161,3.36185,3.15766,0.000503132,0.000503132,0.000503132
26,82.4712,1.20793,1.39724,1.49445,0.57148,0.23611,0.25623,0.10065,2.18461,4.23742,2.72834,0.000489387,0.000489387,0.000489387
